X,id,idLink,region,site,LandUse,SoilOrder,Year,pH,totalC,totalN,AMN,OlsenP_LR,OlsenP_Hills,bulkDensity,macroporosity-m05,macroporosity-m10,macroporositymin,macroporositymax,soillanduse,pHmin,pHmax,OlsenPmin,OlsenPmax,bulkDensitymin,bulkDensitymax,AMNmin,TotalNmin,TotalNmax,TotalCmin,OlsenP,macroporosity,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS
933,1397,1049,Waikato,Waikato/1049,Drystock,Allophanic,2013,5.73,15.041,1.347,231.992,13.611,,0.602,5.467,10.067,10,30,Allophanic/Drystock,5,6.6,20,50,0.5,1.3,50,0.25,0.7,3,13.611,10.067,within,within,within,below,within,above,within,above,within
934,1054,1054,Waikato,Waikato/1054,Crop_Hort,Granular,2009,6.4,3.557,0.313,34.036,73.706,,1.035,14.2,17.133,10,30,Granular/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,73.706,17.133,within,within,within,above,within,within,within,within,within
935,1176,1054,Waikato,Waikato/1054,Crop_Hort,Granular,2002,6.35,4.18,0.36,29,104,,0.96,19.249,22.7,10,30,Granular/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,104,22.7,within,within,within,above,within,within,within,within,within
936,1385,1054,Waikato,Waikato/1054,Crop_Hort,Granular,2013,5.74,3.401,0.299,24.909,98.516,,1.109,11.7,13.4,10,30,Granular/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,98.516,13.4,within,within,within,above,within,within,within,within,within
937,1058,1058,Waikato,Waikato/1058,Crop_Hort,Granular,2009,6.91,3.655,0.305,40.716,98.061,,1.027,22,22.9,10,30,Granular/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,98.061,22.9,within,within,within,above,within,within,within,within,within
938,1175,1058,Waikato,Waikato/1058,Crop_Hort,Granular,2002,6.36,5.29,0.43,55,102,,0.88,19.673,23.2,10,30,Granular/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,102,23.2,within,within,within,above,within,within,within,within,within
939,1392,1058,Waikato,Waikato/1058,Crop_Hort,Granular,2013,6.07,3.794,0.304,31.201,113.846,,1.032,18.067,19.567,10,30,Granular/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,113.846,19.567,within,within,within,above,within,within,within,within,within
940,1182,1059,Waikato,Waikato/1059,Crop_Hort,Allophanic,2002,6.34,8.46,0.84,118,23,,0.72,12.72,15,10,30,Allophanic/Crop_Hort,5,7.6,20,50,0.5,1.3,20,,,3,23,15,within,within,within,within,within,within,within,within,within
941,1423,1059,Waikato,Waikato/1059,Crop_Hort,Allophanic,2012,6.62,5.603,0.581,118.785,21.929,,0.823,10.867,14.3,10,30,Allophanic/Crop_Hort,5,7.6,20,50,0.5,1.3,20,,,3,21.929,14.3,within,within,within,within,within,within,within,within,within
942,1062,1062,Waikato,Waikato/1062,Drystock,Granular,2009,5.99,8.496,0.799,170.992,42.028,,0.978,5.333,7.867,10,30,Granular/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,42.028,7.867,within,within,below,within,within,above,within,above,below
943,1384,1062,Waikato,Waikato/1062,Drystock,Granular,2013,5.76,8.626,0.837,176.345,62.259,,0.856,3.5,4.333,10,30,Granular/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,62.259,4.333,within,within,below,above,within,above,within,above,below
944,1168,1063,Waikato,Waikato/1063,Crop_Hort,Allophanic,2002,6.37,7.86,0.8,119,19,,0.74,12.889,15.2,10,30,Allophanic/Crop_Hort,5,7.6,20,50,0.5,1.3,20,,,3,19,15.2,within,within,within,below,within,within,within,within,within
945,1386,1063,Waikato,Waikato/1063,Crop_Hort,Allophanic,2012,6.35,8.27,0.801,134.178,44.442,,0.763,4.55,4.667,10,30,Allophanic/Crop_Hort,5,7.6,20,50,0.5,1.3,20,,,3,44.442,4.667,within,within,below,within,within,within,within,within,below
