region,SoilOrder,pH,totalC,totalN,AMN,OlsenP_LR,bulkDensity,macroporosity-m05,macroporosity-m10,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS,LandUse
Auckland,Ultic,5.34,4.55,0.258,70,18.477,1.055,12,13.633,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Ultic,4.75,7.59,0.403,107,5.151,0.824,19.367,21.833,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Recent,6.09,5.128,0.421,39.362,39.149,0.94,21.5,24.5,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Gley,6.19,4.34,0.33,81.1,115,1.28,2.5,4.76,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Gley,5.8,3.471,0.24,90.714,144,1.4,7.8,7.83,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Organic,6.82,16.111,1.34,171.111,77.778,0.45,7.6,10.197,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Recent,5.34,3.83,0.31,40,112.3,1,21.9,23.997,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Recent,7.2,5.22,0.36,71.6,44,1.21,1.6,3.83,within,within,below,within,within,within,within,within,below,Crop_Hort
Auckland,Ultic,4.67,4.6,0.3,39.8,33.8,1.05,12.6,13.84,within,within,within,above,within,within,within,within,within,Forestry
Auckland,Ultic,5.3,7.11,0.29,87,7,0.993,16.933,18.933,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Allophanic,6.58,6.53,0.56,84.884,22.3,0.86,15.4,19.62,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Allophanic,6.88,4.39,0.35,25.8,44,0.9,20.1,24.4,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Allophanic,6.17,6.549,0.587,108.791,52.857,0.91,15.6,17.63,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Granular,6.27,5.794,0.46,40.206,40.412,0.97,13.8,14.703,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Recent,6.38,6.146,0.423,65.049,97.476,1.03,8.3,9.9,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Recent,5.97,4.74,0.31,82.1,86,1.21,1.5,3.87,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Ultic,6.33,3.909,0.282,152.525,17,0.99,2.4,4.197,within,within,below,below,within,within,within,within,below,Crop_Hort
Auckland,Ultic,5.84,4.948,0.403,157.732,16,0.97,17.1,18.8,within,within,within,below,within,within,within,within,within,Crop_Hort
Auckland,Ultic,5.77,5.108,0.371,154.839,17,0.93,10.4,12.363,within,within,within,below,within,within,within,within,within,Crop_Hort
Auckland,Brown,5.94,5.771,0.484,227.619,44,1.05,8.6,10.9,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Allophanic,6.81,5.79,0.47,72.2,61,1.07,6.9,8.7,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Allophanic,6.57,6.073,0.47,138.542,63,0.96,17.5,19.397,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Allophanic,6.53,5.313,0.428,50.029,84.032,0.97,21.233,22.733,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Allophanic,6.68,4.84,0.41,115,42,1.07,15.4,18.2,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Allophanic,5.45,4.852,0.417,,12.823,0.923,20.167,22.233,within,within,within,below,within,within,,,within,Crop_Hort
Auckland,Allophanic,6.09,7.55,0.65,135,29,0.98,4.3,7.97,within,within,below,within,within,within,within,within,below,Crop_Hort
Auckland,Granular,7.02,5.05,0.45,90.9,21,1.06,12.6,14.67,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Granular,6.36,5.602,0.46,144.578,18,0.83,24.9,26.467,within,within,within,below,within,within,within,within,within,Crop_Hort
Auckland,Granular,7.2,4.056,0.378,48.441,47.746,0.977,20.733,22.367,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Organic,6.41,20,0.82,62.6,27,0.63,6.7,8.17,within,within,below,within,within,within,within,within,below,Crop_Hort
Auckland,Organic,6.4,19.932,0.803,59.459,30,0.74,10.5,5.3,within,within,below,within,within,within,within,within,below,Crop_Hort
Auckland,Organic,6.2,14.456,0.682,164.775,26.715,0.653,13.867,17.567,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Ultic,6.2,4.63,0.32,102,15,1.02,2.8,5.23,within,within,below,below,within,within,within,within,below,Crop_Hort
Auckland,Ultic,5.57,5.33,0.45,105,19,1.07,7.3,7.13,within,within,below,below,within,within,within,within,below,Crop_Hort
Auckland,Ultic,5.64,4.361,0.381,78.57,18.54,1.023,9.633,11.067,within,within,within,below,within,within,within,within,within,Crop_Hort
Auckland,Ultic,4.75,6.68,0.393,94,67.91,0.946,12.333,14.733,within,within,within,above,within,within,within,within,within,Forestry
Auckland,Recent,5.72,4.203,0.264,61.798,5.056,0.89,27.6,38.837,within,within,above,within,within,within,within,within,above,Forestry
